Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns),Operational
3,292.2900031,299.4160502,4.875545986,-0.309686522,0.0255,0.0116,0.0394,1300,0.000289294,0,0.000289294,0.000289294,3_2:0.009167592664826335,3_2:660,TRUE
4,268.3527563,312.9920482,4.818175809,-0.310371308,0.023,0.022,0.024,1300,0.000141611,0,0.000141611,0.000141611,4_15:0.0040094662211024035;4_3:0.005084629926272122;4_5:0.006451582971172681,4_15:660;4_3:660;4_5:660,TRUE
5,80.6205702,134.9776276,4.734144789,-0.311451824,0.0065,0.0084,0.0046,1300,0.000312956,0,0.000312956,0.000312956,,,TRUE
6,88.76569492,61.51391688,4.876275766,-0.30918835,0.0116,0.008,0.0152,1300,0.000259047,0,0.000259047,0.000259047,6_5:0.010490049993904016;6_7:0.007845015422393936,6_5:660;6_7:660,TRUE
7,386.2487166,223.5392597,4.967524823,-0.307457393,0.0208,0.0202,0.0214,1300,0.000321764,0,0.000321764,0.000321764,7_8:0.004150517174752233,7_8:660,TRUE
8,403.5756618,217.333265,4.902345248,-0.308378277,0.015,0.0122,0.0178,1300,0.000167668,0,0.000167668,0.000167668,8_9:0.007447286954357035,8_9:660,TRUE
9,342.2963824,170.898888,4.987235069,-0.308031059,0.0076,0.0068,0.0084,1300,0.000146301,0,0.000146301,0.000146301,,,TRUE
10,314.2682344,301.6205333,4.831534448,-0.309743442,0.0173,0.018,0.0166,1300,8.91409E-05,0,8.91409E-05,8.91409E-05,10_9:0.004114569155209469;10_11:0.0076288751423808365,10_9:660;10_11:660,TRUE
11,173.1832997,224.894554,4.97230569,-0.307214317,0.1344,0.1308,0.138,1300,0.000197839,0,0.000197839,0.000197839,11_12:0.01098160040993551,11_12:660,TRUE
12,253.0932484,177.3481478,4.936319107,-0.307960827,0.0183,0.0192,0.0174,1300,0.000205219,0,0.000205219,0.000205219,12_17:0.00439842056777448,12_17:660,TRUE
13,356.6561652,110.2911816,5.005809502,-0.30676504,0.0138,0.0078,0.0198,1300,0.000203717,0,0.000203717,0.000203717,13_12:0.005345453748431206,13_12:660,TRUE
14,247.9345565,103.4779532,4.903344761,-0.308419961,0.0176,0.0162,0.019,1300,0.000365223,0,0.000365223,0.000365223,14_0:0.0057839226214079775;14_18:0.004987390990612267,14_0:660;14_18:660,TRUE
15,108.5236086,39.40908313,4.947914954,-0.308052428,0.0096,0.0114,0.0078,1300,0.000295124,0,0.000295124,0.000295124,15_22:0.004282114986996377,15_22:660,TRUE
16,235.5258367,19.07768939,4.960328102,-0.307659451,0.0164,0.014,0.0188,1300,0.000422346,0,0.000422346,0.000422346,16_8:0.004796493333989904;16_26:0.005449944484618052,16_8:660;16_26:660,TRUE
17,341.7005634,309.4331848,4.82082346,-0.309704359,0.0128,0.0106,0.015,1300,9.32591E-05,0,9.32591E-05,9.32591E-05,17_30:0.004267529662691533,17_30:660,TRUE
18,248.8227444,107.0295875,4.788139279,-0.31063599,0.1005,0.1112,0.0898,1300,0.000138952,0,0.000138952,0.000138952,18_19:0.0037482692819240937,18_19:660,TRUE
19,277.336218,87.24526046,4.746992432,-0.310723953,0.0832,0.082,0.0844,1300,0.000128953,0,0.000128953,0.000128953,,,TRUE
20,234.1399022,224.7165066,4.862313787,-0.309097891,0.0139,0.0126,0.0152,1300,0.000198484,0,0.000198484,0.000198484,20_33:0.005508327832639187;20_19:0.003338353152447543,20_33:660;20_19:660,TRUE
21,222.911253,142.9045383,4.966495033,-0.306948395,0.0049,0.0058,0.004,1300,0.00029508,0,0.00029508,0.00029508,21_20:0.004147874007893959;21_22:0.004836593817297757,21_20:660;21_22:660,TRUE
22,256.1196038,91.24190308,5.038197876,-0.306553544,0.026,0.0316,0.0204,1300,0.002978109,0,0.002978109,0.002978109,22_23:0.004106964542590047,22_23:660,TRUE
23,267.9641313,210.6555183,4.844974505,-0.309395699,0.0142,0.0164,0.012,1300,0.000196501,0,0.000196501,0.000196501,,,TRUE
24,255.2411368,139.5851734,5.100790397,-0.305498398,0.1315,0.0376,0.2254,1300,0.000246991,0,0.000246991,0.000246991,24_23:0.0052249510420088185;24_34:1,24_23:660;24_34:660,TRUE
25,222.9260292,183.7722473,4.945232228,-0.308427516,0.009,0.0054,0.0126,1300,0.000185596,0,0.000185596,0.000185596,25_24:0.004162371266913406,25_24:660,TRUE
26,246.2511976,215.6559741,4.854079645,-0.309769228,0.0077,0.0098,0.0056,1300,0.000273937,0,0.000273937,0.000273937,26_25:0.008799791056105982,26_25:660,TRUE
