Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns),Operational
104,210.5586509,202.9827944,4.765569958,-0.310460949,0.0153,0.0188,0.0118,1300,0.000319926,0,0.000319926,0.000319926,104_103:0.00967067820117301,104_103:660,TRUE
105,201.1494481,55.37764592,4.982215132,-0.307597363,0.0117,0.0154,0.008,1300,0.000319414,0,0.000319414,0.000319414,105_104:0.006572067396170861;105_106:0.006335588740992937,105_104:660;105_106:660,TRUE
106,185.049837,226.5854377,4.87821305,-0.309312951,0.0235,0.024,0.023,1300,0.000316482,0,0.000316482,0.000316482,,,TRUE
107,279.7711815,68.77831833,4.916024498,-0.308002241,0.0207,0.0204,0.021,1300,0.000178173,0,0.000178173,0.000178173,107_106:0.004981765075380756,107_106:660,TRUE
108,171.1496761,176.816847,5.056238428,-0.306006746,0.0203,0.0238,0.0168,1300,0.000152726,0,0.000152726,0.000152726,108_112:0.0060603758072686476;108_107:0.006509590819030575,108_112:660;108_107:660,TRUE
109,189.5464389,205.450937,4.984989298,-0.307115802,0.0234,0.0248,0.022,1300,0.000321012,0,0.000321012,0.000321012,109_96:0.00896127203875563,109_96:660,TRUE
110,152.6524451,211.3272694,4.830168032,-0.309047231,0.0114,0.013,0.0098,1300,0.00043658,0,0.00043658,0.00043658,110_118:0.009499178363758326,110_118:660,TRUE
111,243.4210106,275.5607824,4.853171479,-0.309612552,0.0115,0.012,0.011,1300,0.000189479,0,0.000189479,0.000189479,111_104:0.006126303925396648,111_104:660,TRUE
112,185.4010906,31.53725495,5.002444176,-0.30619653,0.0086,0.011,0.0062,1300,0.000234579,0,0.000234579,0.000234579,112_126:0.007869468223080434,112_126:660,TRUE
113,148.0127183,130.8049921,5.03199931,-0.306769176,0.0099,0.0096,0.0102,1300,0.00033535,0,0.00033535,0.00033535,113_114:0.013784083247083717,113_114:660,TRUE
114,333.3249072,44.09121234,4.822460552,-0.30937992,0.1381,0.1254,0.1508,1300,0.000256099,0,0.000256099,0.000256099,114_109:0.008876846870171762;114_115:0.010118674449400206,114_109:660;114_115:660,TRUE
115,93.73907506,88.48152949,5.028019381,-0.306819344,0.0127,0.0192,0.0062,1300,0.000497992,0,0.000497992,0.000497992,,,TRUE
116,289.8507762,276.855842,4.912739925,-0.308298395,0.0093,0.0098,0.0088,1300,0.000131431,0,0.000131431,0.000131431,116_115:0.008471814810205341;116_117:0.005378543331981511,116_115:660;116_117:660,TRUE
117,194.698097,225.1869471,4.833106733,-0.309214183,0.0162,0.0144,0.018,1300,0.000260295,0,0.000260295,0.000260295,117_118:0.008022707478305857,117_118:660,TRUE
118,244.752334,246.0792404,4.732976784,-0.310316229,0.0044,0.0048,0.004,1300,0.000551571,0,0.000551571,0.000551571,118_119:0.008152785533955625,118_119:660,TRUE
119,239.9813665,133.6057585,4.802679745,-0.289805657,0.0385,0.0448,0.0322,1300,0.000388158,0,0.000388158,0.000388158,,,TRUE
120,145.8251181,183.6605475,4.836609161,-0.308829499,0.0158,0.0184,0.0132,1300,0.000304983,0,0.000304983,0.000304983,120_119:0.0100982930259442,120_119:660,TRUE
121,194.7078551,149.0786497,4.96792236,-0.308319275,0.0152,0.0154,0.015,1300,0.000355289,0,0.000355289,0.000355289,121_120:0.008298537865013389,121_120:660,TRUE
122,213.0951369,192.4271739,4.937579493,-0.307131343,0.0166,0.0142,0.019,1300,0.000282763,0,0.000282763,0.000282763,122_121:0.012534084293628678;122_123:0.013820274666878518;122_111:0.00789010954180705,122_121:660;122_123:660;122_111:660,TRUE
123,114.7344458,112.9762861,5.034344478,-0.306394565,0.0407,0.0582,0.0232,1300,0.000980981,0,0.000980981,0.000980981,,,TRUE
124,12.71055019,16.68516007,4.949173442,-0.307286092,0.008,0.01,0.006,1300,0.001155746,0,0.001155746,0.001155746,124_123:0.010601538328214505,124_123:660,TRUE
125,256.0632049,169.1888926,4.859116288,-0.30819396,0.0143,0.018,0.0106,1300,0.000179406,0,0.000179406,0.000179406,125_124:0.023623565315122413;125_126:0.007611688447257098,125_124:660;125_126:660,TRUE
126,236.0317843,149.6171604,4.908243299,-0.308575726,0.0138,0.0176,0.01,1300,0.000413627,0,0.000413627,0.000413627,,,TRUE
