"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","173.2470196501067","74.01351114841223","4.721908316964448","-0.31197865973435573","0.023900000000000032","0.0252","0.022599999999999953","1300","0.0003247044570913599","0","0.0003247044570913599","0.0003247044570913599","","","true"
"1","150.5465963075711","143.03517949482105","4.81513590032656","-0.3097440319777085","0.057499999999999996","0.0566","0.05840000000000001","1300","0.0003229541711741479","0","0.0003229541711741479","0.0003229541711741479","1_0:0.010717863916247572","1_0:660","true"
"2","314.7179119960879","295.8584860861138","4.609655107492074","-0.3090875180776862","0.007900000000000018","0.009000000000000008","0.0068","1300","0.00018981773916386613","0","0.00018981773916386613","0.00018981773916386613","2_1:0.006695204613707512","2_1:660","true"
"3","253.30081325238055","297.2896791425804","4.875545985705616","-0.30968652168552707","0.02180000000000004","0.0086","0.03500000000000003","1300","0.0002937698937322288","0","0.0002937698937322288","0.0002937698937322288","3_2:0.00808145014844186","3_2:660","true"
"4","176.26082393214472","228.6715311214068","4.818175808974537","-0.3103713081153928","0.016599999999999948","0.018399999999999972","0.0148","1300","0.0002191915175721809","0","0.0002191915175721809","0.0002191915175721809","4_15:0.004465512570887037;4_3:0.0062150329331725485;4_5:0.004834178123703736","4_15:660;4_3:660;4_5:660","true"
"5","208.6966127907088","270.9307864370738","4.7341447892979165","-0.3114518235315779","0.006599999999999939","0.007199999999999984","0.006","1300","0.00014313983903724357","0","0.00014313983903724357","0.00014313983903724357","","","true"
"6","183.027791251337","75.23714955496574","4.876275766278119","-0.30918835047116894","0.006800000000000028","0.0056","0.008000000000000007","1300","0.00022764436711887275","0","0.00022764436711887275","0.00022764436711887275","6_5:0.007097214683308317;6_7:0.0056938939760173","6_5:660;6_7:660","true"
"7","331.3937121570584","276.65448221812227","4.967524822898377","-0.30745739300983294","0.017200000000000104","0.011600000000000055","0.0228","1300","0.0002820590306378448","0","0.0002820590306378448","0.0002820590306378448","7_8:0.004050869957868908","7_8:660","true"
"8","241.16314686280597","212.24811590297742","4.902345248208107","-0.30837827664687645","0.009099999999999997","0.0108","0.007399999999999962","1300","0.0001701137859610196","0","0.0001701137859610196","0.0001701137859610196","8_9:0.0065535622117725845","8_9:660","true"
"9","423.30815059518903","187.20723912852247","4.987235069122292","-0.3080310587566364","0.00880000000000003","0.008000000000000007","0.0096","1300","0.00011756319622890186","0","0.00011756319622890186","0.00011756319622890186","","","true"
"10","338.4681636439985","223.2668350140469","4.831534448410197","-0.3097434424405673","0.01859999999999995","0.0252","0.012","1300","0.00022550583613114534","0","0.00022550583613114534","0.00022550583613114534","10_9:0.007198752892843191;10_11:0.014618611407846288","10_9:660;10_11:660","true"
"11","173.4373619137425","105.37973314056619","4.972305689737398","-0.307214316560019","0.12969999999999993","0.1384","0.121","1300","0.00043629253008479275","0","0.00043629253008479275","0.00043629253008479275","11_12:0.017408169263021717","11_12:660","true"
"12","276.2472762914252","100.4307961013113","4.936319107472835","-0.3079608272575031","0.01540000000000008","0.013000000000000012","0.0178","1300","0.0005838920912640418","0","0.0005838920912640418","0.0005838920912640418","12_17:0.013103881202300827","12_17:660","true"
"13","274.5223068371768","122.86332423200011","5.005809502119509","-0.3067650398842775","0.012599999999999945","0.0076","0.01759999999999995","1300","0.00017219234463921408","0","0.00017219234463921408","0.00017219234463921408","13_12:0.010770782014523556","13_12:660","true"
"14","122.82110382582417","4.443116529906539","4.903344760967439","-0.308419961199297","0.01739999999999997","0.0172","0.01759999999999995","1300","0.001735085419539061","0","0.001735085419539061","0.001735085419539061","14_0:0.005691618652515024;14_18:0.010689433223786016","14_0:660;14_18:660","true"
"15","270.5852857487736","42.46468394886603","4.947914953560998","-0.308052427832017","0.009400000000000075","0.0086","0.010199999999999987","1300","0.0001417285226766846","0","0.0001417285226766846","0.0001417285226766846","15_22:0.004986727947885877","15_22:660","true"
"16","291.2736120497211","18.250549883498028","4.9603281019871295","-0.3076594514774509","0.017199999999999993","0.016800000000000037","0.0176","1300","0.0003900126661385376","0","0.0003900126661385376","0.0003900126661385376","16_8:0.006918916514642548;16_26:0.006253116804840503","16_8:660;16_26:660","true"
"17","197.87999485936504","229.77200608475866","4.820823460371974","-0.30970435909943395","0.010600000000000054","0.008600000000000052","0.0126","1300","0.00013155212926021094","0","0.00013155212926021094","0.00013155212926021094","17_30:0.0057444634047029985","17_30:660","true"
"18","306.65696718477653","111.30329860482429","4.788139278987067","-0.31063598977187784","0.09599999999999997","0.09519999999999995","0.0968","1300","0.0000975518876518321","0","0.0000975518876518321","0.0000975518876518321","18_19:0.003901584427113969","18_19:660","true"
"19","345.3922831332712","103.00148348058957","4.7469924322616","-0.31072395279331844","0.08640000000000003","0.09060000000000001","0.0822","1300","0.00010175813630913112","0","0.00010175813630913112","0.00010175813630913112","","","true"
