"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","262.0733177151037","61.54231890686289","4.721908316964448","-0.31197865973435573","0.026699999999999946","0.0244","0.029000000000000026","1300","0.00020362792785389773","0","0.00020362792785389773","0.00020362792785389773","","","true"
"1","286.0188348460867","379.3641270299334","4.81513590032656","-0.3097440319777085","0.05709999999999993","0.0566","0.057599999999999985","1300","0.00010613669915762072","0","0.00010613669915762072","0.00010613669915762072","1_0:0.004084666382900087","1_0:660","true"
"2","180.12161704104523","252.63279637537278","4.609655107492074","-0.3090875180776862","0.008499999999999952","0.007199999999999984","0.0098","1300","0.0002109824932048834","0","0.0002109824932048834","0.0002109824932048834","2_1:0.0057861131325119275","2_1:660","true"
"3","212.8726720330097","220.07737282342174","4.875545985705616","-0.30968652168552707","0.02760000000000007","0.0142","0.041000000000000036","1300","0.00022105217382663037","0","0.00022105217382663037","0.00022105217382663037","3_2:0.010253572151443457","3_2:660","true"
"4","335.5201384547844","174.9699038032427","4.818175808974537","-0.3103713081153928","0.01849999999999996","0.020199999999999996","0.0168","1300","0.0001926298216832373","0","0.0001926298216832373","0.0001926298216832373","4_15:0.004699839466085598;4_3:0.006599052713844478;4_5:0.006466948497786507","4_15:660;4_3:660;4_5:660","true"
"5","84.12662230395932","143.00481058295475","4.7341447892979165","-0.3114518235315779","0.007500000000000062","0.010600000000000054","0.0044","1300","0.00028033290919025986","0","0.00028033290919025986","0.00028033290919025986","","","true"
"6","81.81650495647766","57.78510717647717","4.876275766278119","-0.30918835047116894","0.00869999999999993","0.0104","0.007000000000000006","1300","0.0003185998793781879","0","0.0003185998793781879","0.0003185998793781879","6_5:0.011159363353015539;6_7:0.007291929143950188","6_5:660;6_7:660","true"
"7","325.8830742008172","329.035832079394","4.967524822898377","-0.30745739300983294","0.014699999999999935","0.015199999999999991","0.0142","1300","0.0003374560597002005","0","0.0003374560597002005","0.0003374560597002005","7_8:0.007165497950574029","7_8:660","true"
"8","165.24021245302342","118.39948641289995","4.902345248208107","-0.30837827664687645","0.014599999999999946","0.017","0.012199999999999989","1300","0.0003499431690231486","0","0.0003499431690231486","0.0003499431690231486","8_9:0.0074156226062764286","8_9:660","true"
"9","301.4989623237801","163.531805796523","4.987235069122292","-0.3080310587566364","0.0049000000000000155","0.006000000000000005","0.0038","1300","0.0001499592958089024","0","0.0001499592958089024","0.0001499592958089024","","","true"
"10","349.3343477923718","238.25375309945989","4.831534448410197","-0.3097434424405673","0.016000000000000014","0.014","0.018000000000000016","1300","0.0001070296855816296","0","0.0001070296855816296","0.0001070296855816296","10_9:0.0031123608733945873;10_11:0.007819669252678546","10_9:660;10_11:660","true"
"11","238.19355539476288","170.33500657380648","4.972305689737398","-0.307214316560019","0.13570000000000004","0.1376","0.13380000000000003","1300","0.00030385875055783344","0","0.00030385875055783344","0.00030385875055783344","11_12:0.009670356155737164","11_12:660","true"
"12","219.05689503339158","164.2128537622067","4.936319107472835","-0.3079608272575031","0.013000000000000012","0.01319999999999999","0.0128","1300","0.00015780408742560977","0","0.00015780408742560977","0.00015780408742560977","12_17:0.0042761823125580245","12_17:660","true"
