"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","232.99067654450613","53.562025070095835","4.721908316964448","-0.31197865973435573","0.026100000000000012","0.0278","0.024399999999999977","1300","0.0003338951657597181","0","0.0003338951657597181","0.0003338951657597181","","","true"
"1","184.45009712291753","196.74093610662345","4.81513590032656","-0.3097440319777085","0.04479999999999995","0.0476","0.04200000000000004","1300","0.00027943584802972416","0","0.00027943584802972416","0.00027943584802972416","1_0:0.007856903004390209","1_0:660","true"
"2","236.064183988499","249.07439759905333","4.609655107492074","-0.3090875180776862","0.015300000000000091","0.020000000000000018","0.0106","1300","0.0001474051070739926","0","0.0001474051070739926","0.0001474051070739926","2_1:0.006666321396034847","2_1:660","true"
"3","261.96478332149377","264.66528756932564","4.875545985705616","-0.30968652168552707","0.03079999999999994","0.015800000000000036","0.0458","1300","0.00020793985572076834","0","0.00020793985572076834","0.00020793985572076834","3_2:0.005809865403484105","3_2:660","true"
"4","203.67132945331076","125.50173831323632","4.818175808974537","-0.3103713081153928","0.042100000000000026","0.04300000000000004","0.0412","1300","0.00023212440628207675","0","0.00023212440628207675","0.00023212440628207675","4_15:0.00585087310453028;4_3:0.007194685916363269;4_5:0.005405006853194144","4_15:660;4_3:660;4_5:660","true"
"5","460.19517015350465","228.63767249739703","4.7341447892979165","-0.3114518235315779","0.008499999999999952","0.008600000000000052","0.0084","1300","0.000124062604830378","0","0.000124062604830378","0.000124062604830378","","","true"
"6","154.0008557561333","56.360490786756955","4.876275766278119","-0.30918835047116894","0.03310000000000002","0.056400000000000006","0.0098","1300","0.00022944787956054915","0","0.00022944787956054915","0.00022944787956054915","6_5:0.005630827018211021;6_7:0.007080961909080807","6_5:660;6_7:660","true"
"7","352.03350858932333","81.75064655592378","4.967524822898377","-0.30745739300983294","0.0353","0.0514","0.0192","1300","0.00034506936797287405","0","0.00034506936797287405","0.00034506936797287405","7_8:0.0072018659342081015","7_8:660","true"
"8","232.38641210920625","60.92715710437585","4.902345248208107","-0.30837827664687645","0.010099999999999998","0.0116","0.008600000000000052","1300","0.00025030790019075247","0","0.00025030790019075247","0.00025030790019075247","8_9:0.008219167692655405","8_9:660","true"
"9","346.9443272335494","116.64370533979351","4.987235069122292","-0.3080310587566364","0.006599999999999939","0.006199999999999983","0.007","1300","0.0001590176220512193","0","0.0001590176220512193","0.0001590176220512193","","","true"
"10","230.23433188982105","195.85446041789763","4.831534448410197","-0.3097434424405673","0.017800000000000038","0.019000000000000017","0.0166","1300","0.00022697429217096734","0","0.00022697429217096734","0.00022697429217096734","10_9:0.007865670796299296;10_11:0.012047382851431782","10_9:660;10_11:660","true"
"11","300.7774188013586","304.78375497410025","4.972305689737398","-0.307214316560019","0.1371","0.1386","0.13560000000000005","1300","0.00018786637076508172","0","0.00018786637076508172","0.00018786637076508172","11_12:0.006828516232658177","11_12:660","true"
"12","186.58112916642918","114.12220537363682","4.936319107472835","-0.3079608272575031","0.01529999999999998","0.01859999999999995","0.012","1300","0.000233995918599234","0","0.000233995918599234","0.000233995918599234","12_17:0.004900608086206237","12_17:660","true"
"13","247.02818358079497","74.43981202277577","5.005809502119509","-0.3067650398842775","0.013600000000000056","0.0098","0.01739999999999997","1300","0.00039114410858659334","0","0.00039114410858659334","0.00039114410858659334","13_12:0.008245033495387522","13_12:660","true"
"14","206.57497531258895","99.67822683240323","4.903344760967439","-0.308419961199297","0.015199999999999991","0.0162","0.01419999999999999","1300","0.0003388663591164264","0","0.0003388663591164264","0.0003388663591164264","14_0:0.008796705457630533;14_18:0.007028097889399343","14_0:660;14_18:660","true"
"15","310.70608199452147","40.122207341259085","4.947914953560998","-0.308052427832017","0.019499999999999962","0.0224","0.016599999999999948","1300","0.00021189401489761254","0","0.00021189401489761254","0.00021189401489761254","15_22:0.0051919892328013695","15_22:660","true"
"16","133.7453718567133","15.5343823270096","4.9603281019871295","-0.3076594514774509","0.015199999999999991","0.014800000000000035","0.0156","1300","0.0003887325629455157","0","0.0003887325629455157","0.0003887325629455157","16_8:0.009098652096090204;16_26:0.0069023336331071605","16_8:660;16_26:660","true"
